Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_1681,0,2,0,0,0,3,0,8.250658097,24.76470588,6.995983936
OpenStack_1655,1,58,0,0,0,29,0.934236065,6.391858496,28.72,6.293604651
OpenStack_4756,0,26,0,5290,179,1,0,7.703529412,29.47058824,6.850574713
OpenStack_4903,1,20,0,4679,151,15,2.087161011,26.17899785,92.9,6.802083333
OpenStack_4584,0,0,1,0,0,0,0,9.423056655,42.68421053,7
OpenStack_5113,1,15,0,4259,87,5,0.334132086,8.587665441,37.64705882,6.768939394
OpenStack_7164,0,45,0,0,0,1,0,6.102448094,21.95238095,6.586614173
OpenStack_6990,1,189,0,14264,532,93,7.908056365,40.52304684,129.9375,6.021466905
OpenStack_418,0,0,0,0,0,13,0,12.91204717,36.39130435,6.538175047
OpenStack_7332,3,257,0,58353,959,18,1.149810549,24.57092055,86.54545455,5.69273743
OpenStack_5988,0,125,0,0,0,5,0.526033981,9.152818182,36.36363636,6.154241645
OpenStack_6670,0,153,0,0,0,2,0,7.57547207,30.89473684,7.170648464
OpenStack_532,0,9,0,0,0,13,0,10.61627923,45.77272727,5.841463415
OpenStack_3200,2,22,1,469,10,0,0,16.03535689,57.63157895,6.539192399
OpenStack_6978,0,7,0,1034,35,2,0,5.488834646,25.4,6.75
OpenStack_1597,1,8,0,3264,80,7,0.99294984,12.81341439,52.64705882,6.504672897
OpenStack_4858,0,1,0,769,21,1,0,7.426776746,30.17647059,6.814516129
OpenStack_2185,1,140,0,5134,73,1,0.522605932,12.10747037,45.10526316,6.397820163
OpenStack_708,0,15,0,0,0,1,0,6.588372979,21.65,7.217898833
OpenStack_5419,0,6,3,0,0,0,0.133627521,12.94291296,45.40384615,5.89017341
OpenStack_7414,2,39,0,6053,118,28,2.285971022,21.77750515,75.58823529,6.17961165
OpenStack_6940,0,2,0,0,0,1,0,6.360826326,26.68421053,6.584677419
OpenStack_1356,0,0,0,0,0,0,0,6.868921061,22.70588235,7.081818182
OpenStack_5688,0,8,0,0,0,1,0.168564443,9.824551282,34.66666667,6.562700965
OpenStack_7342,3,253,0,66224,1299,122,1.920403474,56.41147393,169.7916667,6.439003436
OpenStack_2297,2,15,0,10011,57,5,0.442619542,20.49001897,79.625,6.519187359
OpenStack_1449,0,64,0,13657,403,11,0.529436582,12.502493,49.41176471,6.689655172
OpenStack_6242,1,22,0,5442,151,5,0.51121885,7.872362116,33.94117647,6.952
OpenStack_811,0,8,0,0,0,41,0,22.91393527,75.025,5.976243504
OpenStack_3597,0,8,0,352,0,0,0,6.274062623,26.41176471,7.009090909
OpenStack_3119,0,13,0,0,0,2,0,8.82745818,33.94736842,6.347962382
OpenStack_7360,0,15,0,0,0,71,0.794061046,16.0512633,57.77083333,5.763247863
OpenStack_5590,1,3,0,1170,46,3,0,7.001054801,35.59090909,7.302547771
OpenStack_5769,2,180,0,27434,696,7,1.443644357,24.84605145,85.96153846,6.096730245
OpenStack_867,0,17,0,1092,40,6,0.929371537,5.843087628,31.28571429,6.850393701
OpenStack_2740,0,67,0,23876,838,45,0.389975,9.525309926,41.58823529,6.992673993
OpenStack_3297,2,33,0,12265,160,13,0.857832321,18.71627141,66,6.200636943
OpenStack_2802,0,54,0,8755,284,1,0,6.981873155,27.21052632,6.762589928
OpenStack_4234,0,8,0,879,32,3,0,8.189738064,36.61904762,6.538690476
OpenStack_3185,0,33,0,2319,56,24,0,18.31754386,65.44444444,6.287037037
OpenStack_6329,0,13,0,0,0,1,0,7.181800564,26.27777778,6.5703125
OpenStack_443,1,1,0,1061,27,1,0,6.746317873,24.47058824,7.026666667
OpenStack_289,0,3,0,0,0,20,0,10.042875,38.4,6.052410901
OpenStack_2384,0,0,0,0,0,5,0,7.494236084,26.29411765,7.056910569
OpenStack_7005,1,49,0,11159,309,4,0.528320834,5.585497939,28.43478261,6.782894737
OpenStack_4768,0,124,0,0,0,0,0,6.584,26.6,7.094594595
OpenStack_5869,2,15,0,3513,131,67,0.885889485,20.43497326,73.11764706,7.299065421
OpenStack_2405,0,80,0,24554,867,0,0.953489331,7.663943812,31.15789474,7.194244604
